,text,dialect
30,سناب كلكم عنده سنابه ذوق,OM
31,عيدك مبارك وعساك عواده,IQ
32,شايل الفنجان ماشية علىقاصدني وجايزولي مد الكأس شربني براي,SD
33,ضيع درجاتي الضحك,OM
34,مطلبي يقدم استقالته وفوگاها اعتذار,IQ
35,الحاضريعلمالغايب المفرج عنهم الفرع هالمعتقلين موجودين بالفرع شهر ابو,SY
36,مسافر اسكندرية مخصوص أحضر النوة بدل أطلع دهب أصحابي مستني مجالات تستاهل بقى,EG
37,انتي حتولعي ليه فكرة تنظيم كاس افريقيا حتستفادو منو مش العكس الناس جاية بفلوسها مش قاعدين فبيتك ياكلو ويشربو يا ذكية,DZ
38,احنا لسه هنسأل السؤال ده سنين فشخ الأنا المتضخمة للبعض للثورة,EG
39,شفت انك تكذب الغلطان أعلق عندك رغم اني الصباح قررت التعليق,YE
40,ايه انا فلول راي مصطفي بكري,SA
41,افتكرتو قاعد صاج,SD
42,اه هيك مسحوباا,PL
43,يا جماعة موضوع الجبل الأصفر ده خبر مسلي تقرأه صحف المنوعات بيؤلمني حقيقي انكم واخدين الموضوع بجدية كدة,EG
44,متشوف كلاص شكبره وين بالك,IQ
45,مقتل العقيد خائن الفار محمد خضر حمادة عاقبال ندعس خائن,SY
46,سنه ونحن نسمع باقي شهر والدنيا ماشيه والشعب تأقلم عالوضع,OM
47,بدك يفهمو الشي تعبنا الوضع نص العالم بلا اكل اساس نازلين الحوع قامو هني عملو اضرب الدوله جوعو الشعب حدا بدو يفتح محلو ليسترزق عم يكسرولو المحل عم يهديدو بالسلاح مين مسؤول الفوضى هيدي,LB
48,ممكن هك خير تهنينا مرض السكر مرة المنتخب مش يروح بعيد بهذه الطريقة الجزايرنيجيريا,DZ
49,داير ليه القفل خافنا نعرفو معاش كيوذن العصر,MA
50,مش خبز نوع الفطيرة رقيق ايقطعوه ويسقوه بالطبيخة,LY
51,دى روحك كدا اللى هتطلع,PL
52,السؤال السقف معمول البليود الاسود حشب عادي سم بليود الله يعين تعمله لاصق واذا خشب سم رشه بالموية تحصله مقفل بالتوفيق,SY
53,كنكم مشتطين واحيتلكم,OM
54,غيره الكثيرين ادعوا العكس,AE
55,محد يبيكم الشركات شلت شلايلها هجت,QA
56,ياااحرية عامر الحميدي مواليد سلقين طالع عالشام اعتقلوه العفاريت الزرق ومعه سائق سيارته وواحد,SY
57,اورتاكوي برج البنت ادمناية,SY
58,الله يوفقهم ياارب وفالهم الفوز,MA
59,اخيرا عرفت قصة اهلينفاديكيفك,LY
60,لازم الكلية اعتقد يلا تعين,IQ
61,عشان الوحده يضيق خلقها ويهها الصجي جنه تقولين خل المكياج يشيل عيوب مو مبدئي بالميك اب احب الميك اب يجمل يصحح العيوووب,KW
62,تمنيتك لي بعمري عروس والوجع حلمي لجل غيري حصلكل مات الامل اطلب عظيم يقول لشي يحي الامل,JO
63,هههه هاي كلمة استفز بيها سواق التكسي بعمان وهون كمان بعرف الجرح تسكر دوار المدينة للجامعة,IQ
64,سوير انتي وين عايشة,SA
65,تؤبريني منجرب نطريني,LB
66,انا قسنطينية واكيد واش صرا ووجعني قلبي بصح اختي كوني شوية حيادية وشوفي شكون بدا الضرب يعني مناصرين قسنطينة رجعو الثار مش العكس واش دارو وضد واش قولتي يرجع الثار احنا ولاد بلاد وحدة واش خلينا للبراني ربي يهدينا كامل,DZ
67,سوالف يمي بايخه,KW
68,أبي الروحي ياليت وأنت موجود كنت بتقول لي زمن احنا عايشين,YE
69,سيطرة المليشيات مفاصل الدولة طرابلس سبب معاناة ليبيا تبوش يجيكم لزوا الوسخ اللي حاكمكم,LY
70,كلامي واضح سالم زوران الفارق وبعد زوران متخلف بنقطة,AE
71,سود الله وجه ال سعود زراق وحوههم,PL
72,انت مبن بتشجع خلص منربح فريقك,LB
73,ارسلها لك,YE
74,عيالشريفة المدرعمين موضوع سوسنالشاعر نقطونا بسكاتكم إحنا أهل الديرة نتفق نختلف معاها بكيفنا خلكم شريفة أبرك لكم,BH
75,والسعيد اتعظ بغيره,YE
76,علينا الصابرين يا رب,TN
77,يدعي دي شنو يعني فهمني افخر بسودانيتي بدون خجلوثلاث ارباع عديل كدة بتخجل بالله وتقول كلامك القبيح دا اهلي ديل جدودك بيهاجروا عشان يعملو بدون نمن عليهم نذكر كلامك القبيح دا ومطية الاخونجية دي بتوصموا بيها ضدكم وضد انتهازيتكم,SD
78,تخونه إصلاح بعدين شلون رجل اللي يتقبل ويوثق بالمرأه الاصلاح,IQ
79,سيلعنه التاريخ لعن غيره وخليه ثورتنا تفضحه وغيره مين اللي بعده,SY
80,احبكولن احب سواك,YE
81,أحبكـم للحب تأويل,AE
82,خطأ خطأ تعليق الرموش الموضوع الأساسي الحواجب شوفوالفرق بينهم وبيننا,KW
83,ماتش عظمة نخرج ماني فرحان,TN
84,شكلك مصاب بفوبيا منصور البلوي اتطرق لمنصور البلوي وكل الحديث انتقال اسامه هوساوي الله يتوب ويشفيك,SA
85,صاحب فيديو تعذيب الطفلة اللي انتشر السوشيال ميديا الأردنية,EG
86,وانا تحرش فيني وافقت يحبببي بشتكي بس لمن,SA
87,حياتي ليش خليتيها بتخليها تبوظ حياتك انتي ايدك فكرة تعملي حدود لكل شي حياتك,LB
88,ايكاردي مهاجم صريح رقم تقليدي هداف معدل تهديفه تقريبا هدف بالموسملكن اليوفي يقدر يجيبه لانه حد عنده هيغوايين مانزو وديبالا,TN
89,عقدة الخواجة يا دكتور,OM
90,اكيد انتي مواليد عقبال اللي عندك انتى بنت الخروف,AE
91,التاغية انتم اللي فرحتوا بقتله,LY
92,الراجل ده داس الناس جامد واللي مش عاجبه يبقى إرهابي ويتحبس ده بيتبرر بإنه بيبني البلد وبيعمل مشاريع ونستحمل عشان مصر فجأة طلعت دعاوي بذخ وطلع قالهم أيوة ببني قصور وهبني وهبني وكإن معاناتهم دي عشان رفاهيته فطبيعي اللحظة دي يدوسوا,EG
93,اييييي والله راحت فسدت العقلية اصلا عادو يشوفو الاساتذة دراهم يقلك مايقريوش ويتسببو عادي تلقايها تعرشلها علئ الزيادة,DZ
94,المؤسسة اللي صراع المبدعين مؤسسة راعية للتخلف المدير اللي صراع دايم صناع الأفكار مدير مهزوز وخايف يتعرى قدام أتباعه المتخلفينالموظف اللي بيخاف يطرح أفكاره قدام زملاؤه عشان سيادة منطق,EG
95,طيب الحمدلله شايف اعترفت لحالك مراتك شاطرة واضح كتير وبتحب ريحة الفلوس,LB
96,يخلي قلبك يارب أروع فنان بالدنيا,JO
97,وشنو الفرق العادات والتقاليد,IQ
98,والله لسا غاليه هيني بحاول,PL
99,طيب انا سألتك لاني حابة اساعدك انا بعشق شي اسمو زراعة وصراحة انا كمان عندي فكؤة الموضوع فمممكن اعمل تغريدة اسأل واكيد زول بيكون مهتم جرب صدر صاحب شركة تصدير يورينا,SD
100,يومين رحت بار اسكندرية صديق وطلب ستلا وانا طلبت بيبسي بقيت ازازة البيرة أتجنبها عشان مدفعش تمنها تقلبات مزاجية ولو بسيطة صديقي المكتئب اللي قاعد قدامي عنده زيي وعارف أضرار الكحول لينا وراح دهب شرب ازازة فودكا كاملة وازاتين بيرة وزعلان اكتئب,EG
101,يعني حكيت قوموا الليل بصير تبخيسطيب بالصورة بارجلوا مش عم بعكسوا صورة المتظاهرين انهم طالعين طشة وشمة هواالدعاء تبخيس والاراجيل والقطايف والجيتار والتريكس منظر حضاري,JO
102,يباع طبعت نسخ محدودة للتوزيع,OM
103,القله القليله جدآ جمهور العين قصدك بسكم كفايه اللي قاعدين تسونه كيان ملك للجميع غانم موجود باجر محد,AE
104,ايه بس ماتوصل لروح الروح الناس تفهم غلط,MA
105,ماشاء الله الله يحفظكم,MA
106,هذي مغسله وزحليقه اعترفي,SA
107,مرة وحدة توقعت أخلاقك,OM
108,لعد تجي بالعرس,IQ
109,معروف اسمو اغيد بنات تونس عملو معاه سلفي,TN
110,يشتري هالبضاعة يا خوك,BH
111,خل اشوووف اهم شي تشتغل شغل سكرتير هااا,KW
112,هاك قولتها مشكلتي اناقشوا توا مشكلتك مازلت تدف التراب بصدرك,LY
113,الواد منصور ماله بيجمعش,BH
114,عساف جاية يعمل حفلة ويسافر مش الماتش,DZ
115,الشخص اللي تغيب بيعاتبك اكيد شالك باله هالوقت عمره رح ينساك,LB
116,هذي عقدتكم لين تموتون التجنس والعنصريه حشو مخوخكم ناس معقدين ومتعقدين وماني مجبوره اجاوبك لان احنا ماعندنا عنصريات بلدنا يامتخلفين,QA
117,قداشو مغط ماسط عمل هاك اذهب خراواطات,TN
118,مجالات الحياة المقولة دي صحيحة ومجربة الظروف الصعبة والأعداء اللي بيخلقوا خبرتك الحقيقية ونجاحاتك الكبرى بتكون بقهرهم مش بالانتخة وانتظار المعجزة,EG
119,جيلنا يشرف النور بالعراق,IQ
120,انتي راسك شر انا اقل غريب انا اقول ماهي اسباب السفر سألتي ليش يامطفي سهران برد وقول أسهر ترى نوم المحبين مسروق والنوم المحبة نكاده السهر أسلوب راقي ومرموق يعني بتحب إنسى الوساد,SA
121,بلغه سلامي وأحر تحياتي,TN
122,بغيناهم يطلعو النيفو شويا ينساحبو ههه,MA
123,مايشوف شر شالله ويقوم بالسلامه ياااارب,BH
124,الله لابلانا ماحنا القائمة رغم والله انا فالينها صحيح ديون وقروض بس مستانسين ونكشت للبر ونخت للبحرين ونطق ليلة القائمة وش مخليهم اسعد منا اكيد يجية راتب نايم داعي يختون,SA
125,صبحك الله بالنور والسرور هموسه,OM
126,كفو ياوليد وانشهد انك عاشق ومطنوخ,SA
127,وانا قايلك اني جايب لك خبر حصري وانت والاشقاء القطريين بخير ونعمة,SA
128,خخخههخهههخانا وين بعيده عنهاكانه قاصرتنك سفره توك راجع للبﻻد بتوصلك الاخبار وين بكون,OM
129,يااحرية أنس عليان بدناياهبدناالكل,SY
130,الشباب انواع حبيبته ماتتالثاني مره يكلم بنتالثالث البنات يبونهالرابع حبيبته تزوجت انتي وحظك,SA
131,بإذن الله مباركة,PL
132,بتشدني اشياء فـ ايدين الجميعانا ميولي لاشياء بتشد حدا غيري يسعد صباحكم,JO
133,بلا حب بلا حكي فاضي هههههههههه,JO
134,ربنا يبارك لك حياتك,PL
135,وانتم بالف خير رواء ينعاد عليكم بالصحة والعافية,PL
136,النت تعبان مافيش مغردين هذي السع ايش القصه مادري,YE
137,حبيبتي يسعدك ياعسولتي الحلوه,JO
138,اسمه تين برشومي جديد اعرفها,PL
139,تغريدة هدف,OM
140,فاش كاتكون عندك قل كاتسمع بالتجنيد الاجباري,MA
141,وانا برج عسي مهوب العذراء الثور اكرهم اساميهم بس,SA
142,بكل مكان تعبان الوضع عطل ودوام ماكو اصلا,IQ
143,كلامك صح بس بدك مين يقتنع عم يشوفو الارض,LB
144,بالفيديو ساعات مذبحة تكساس قتلى بإطلاق نار أوهايو,BH
145,وحدة كذابة تكذب الله الرسول ملحدة بكل تاكيد تكذب وتحاول نقل صورة مو حلوة,IQ
146,اقل اقل الواجب خطاب الغالي اللي عم تعملوه أكتر عظيم والله,SY
147,البرد يحتاج حضن معليش الزنجبيل جابلي حرقان,SA
148,قصدك وين حصلتي القناعة فكرة استقبلتها سواء البيت الخارج بأي مرحلة مراحل حياتك وصدقتيها ممكن قناعة,KW
149,حفل مقصود حوايج ثانية نمي مظاهرات وتشوفو تحرش وين حفل والحشر وداب راكب مولاه,DZ
150,مستحيل جناح يعطيك حلول الأطراف ارى كيتا يسار كوستا ديبالا وهيغوايينبيانيتش وماركيلازم ظهير ومانولاس,TN
151,عالطبيعة شي احلا دنيا حلوة وعمر بيحلى,TN
152,ويجيك بطران يگول المرجعيه لاتتدخل بالسياسه,IQ
153,وساعات بنلاقي لروحنا طريقه نهرب منك يا حقيقه بعدين بنفوق دقيقه مأتاري ده كلو كلام نداءشرارة كلامفي كلام,JO
154,كلنااحلام اعطتني بلوك ام الهجع عشان قلت عندك كرامه ماتقبلين تكونين بديله لأحلام,JO
155,جوج حيين الثالث ميت,MA
156,يعطيك العافية وموفقين جمييييع,MA
157,والله مشتاقين طال علينا فراقكم والله يا غايبين قدر ننسى العلينا برضو مشتاقين والله مشتاااااقين,SD
158,ال دايما مسلية للمشاهد انك تشوف حد عالي كدة المريض اللي بيعاني بالذات زوال تأثيرها وإحساسه بالحرج اللي عمله وقاله أثنائها المشكلة حالة تعاطي المخدرات هيفضل عالي كدة كتير,EG
159,تشوف الدلموني لابس عمامة ههه,BH
160,البندوره بتعطي حموضه للاكل,JO
161,صدق قوي يقوللك عينيك,BH
162,قريتي الثريد حتعرفي اني قلت كدة البداية تغريدة وانو الثريد لرفع الوعي,SD
163,نظام جيد يناسبكوالكلام صحيح,LB
164,لف سعودي تحصل سنتافي,YE
165,وحشني كبارنا البسطاء اللي خطفهم الموت اللي قعدتهم ونس وبركة النظر لوجوههم علاج نفسي عقد الدنيارحم الله أهل البركة والرضا بسطاء النفوس ومنبع القناعة صرعوا تعقيد الحياة بسلامة نفوسهمرحم,EG
166,ههههههههههههه النور قوللها اتغنيلي اشوي وين صحصحت,LY
167,غلطهندمتعليهابعتقد إنه مافي غلطه لازم الإنسان يندم المفروض يتعلم الغلط اللي يحاول يصلحه يتجنه مستقبلا,JO
168,فريق ملهم أبطال المحبة كلنا معكم القلب عالقلب الإيد بالإيد فيكن تتبرعوا انتوا مأمنين,SY
169,اخر المشاوير غيمة زرقة وبرد كتير,YE
170,قالتلي عنك يا ابني مشواري طويل قلتلها هوصلك بس مفيش مواصلات بتعدي قالتلي أتوبيس بيلف قلتلها طب نستناه عشان الشمس عليكي بس يا أمي الصراحة كنت متمرن رجل قبلها بيوم ومش حمل مشي خالص المهم الأتوبيس ده جيه ومشهد أفلام التمانينات متروس بشر,EG
171,شيء قابل للتصنع ال الود والحب مايخبئه القلب تفضحه العيون,IQ
172,النظام مكلوب إعلانات وأغاني وكليبات عشان الناس تشارك الانتخابات بيشحتهم شحاته تفتكروا ليه بما إنه كدا كدا فايز وكده كده محدش بيهدد فوزه,EG
173,معاج الدعوه ومجابله الچبله,BH
174,هالحالة تصير الديرة جزيرة الشيخ ابراهيم طيور اللوه,BH
175,جمل الله حياتكم بالرضا,PL
176,ومننا أهل برزة تفجعونا بكم واللي بيجرب المجرب عقله مخرب,SY
177,اللي امتابعني عشان يتشمت يلغي المتابعة يابهايم وبلوك مش امديرتلكم لانكم والله ماتسووا دفلة وانبحوا زي الكلاب والله ماردة منكم ياحيونات واللي منردش يعرف روحه وايحل سماي بلا مثاليه وكذب,LY
178,اكيد وجعهم وجعنا كلنا نحنا معهم بس قطع الطرقات ناس اشتغلت يومي تموت الجوع هيدول مين مسؤوول عنهم مين يأملهم حاجاتهم,LB
179,الشخص وإيش عمله,YE
180,مش شامم ريحة تململ الجيش ممكن ريحة مطاريد العامة وبواقي نظام مبارك بتلعب شوية مش شامم ريحة ثورات بس شامم ريحة مزاولات لطيفة ياريت تستمر والهسهس يزيد ونتسلى شوية,EG
181,عمل رائع وانت بجد شخص فنان كثرة تخلص عملك تجتهد يظهر الشيذ واضح الصورة اللي تقدمها برافو,LY
182,سيب البلد تمشي زي ماشية واتقي الله تتكلم الغلابة اسمع رأي الغلابة احنامعاكياسيسياحنامعاكياريس,AE
183,وكنزة عملت لوك اشقر عايزة مين سهيلة ماعملت اللوك تصبح كنزة غيرها ماكنتش عارفة لوك مكتوب حد معين,DZ
184,بكتب الانا عايزاهو الشئ الانت بيعجبك,SD
185,سلمان يارجل ترا الشبه بينهم كبير شف صوره اوضح تقدر,QA
186,الله يقصف عمرك وعمره,SY
187,أكيد مش الميليشيات بس بلكي وحدة يجي معاها الحوار اشخاص قليلين الحوار نجح دول كثيرة الله يستر علينا ويهدي القلوب,LY
188,تمر الوجيه العابره مرور السير وكلن يروح وينحفظ ذكره الطيب,OM
189,انا ماشي مغربي راه تعلمتها هههه,MA
190,كونتي يدافع دق السيتي وعنده هازارد ويليان موراتا فابري بيدور سيميوني يدافع دق البرسا وعنده غريزمان كوستا وغاميرومورينهو يدافع وعنده لوكاكو مارسيال سانشيز راشفورداليغري يدافع وعنده ديبالا هيغوايين كوستاالدفاع فن عالي الضغط وافتكاك الكرة المنافس,TN
191,آلي تعرف عليهايفهمني ويش مكتوب,OM
192,تسلم عيونك يا أحلى سالي,SY
193,ياااحرية محمد ابن محمد رياض أورفلي حماه مواليد اعتقلوه العفاريت الزرق دمشق بشهر ماحدا,SY
194,ماكو ذنب سب اللي يستاهل السب,IQ
195,شكرا الله ينورك ويخليك,TN
196,تسلملي الصوره ويلي بالصورة الله يخليلنا ياه ويحمية,SY
197,صح لسانك يا فندم,YE
198,أرجو تسال فيصل القاسم صاح ديك شعيب أبقاش عيب اسأله معناها عنده,JO
199,تسلم ناهد وربنا يحفظها,SD
200,ياريت يا قلبي وانشالله منلتقي,LB
201,يااحرية محمد زياد معمو مواليد حمص قرية الضبعةاعتقلوه العفاريت الزرق داخل الكراج الجنوبي بحمص,SY
202,متعود عالكذب يومه,LY
203,انزين صج صجتحطين ميك اب العيونقبل الفاونديشنوبعدها تحطين الكونسيلر يروح كله ليشششش,KW
204,خطوات تساعدك النسيان لشخص احذف الصور والمحادثات كلها احذف الآغاني اللي تذكرك تراقبه تراقبه تراقبه تراقبه تراقبه تراقبه تراقبه تراقبه تراقبه تراقبه تراقبه الله ياخذك,KW
205,بنحبهن بيحبونا احسن شي,MA
206,الله يسعدكم يارب ويخليكم شكرا كتير كلامكم الحلو,JO
207,نحنا مفروض نتغاضى الحقيقة دي,SD
208,بالنسبة لي لازم لسحور,PL
209,يا فاشل انت ده انت اصلا بتعرف الهيدروجين الموية وبتستهر بالناس التعبو وساهرو الاختراع تجي شائ,SD
210,عيب تباركونا ابن فلسطين والجزائر احنا شعب وفرحنا فرحكم,DZ
211,أساس انا بوركينافاسو موزنبيق خيرة الله,YE
212,وين اسارة قدقد منميزش اليمين واليسار,DZ
213,وين كنا وكيف صرنا,SY
214,قله عقول فيهم يا يسورهذلحين معاهم لسان سرق الناسراعي الله البقر وهم بيرعوا,YE
215,التنهيدة اللي تطلع داخل القلب شدة القهر والألم وتصاحبها كلمة يا الله عوضها ربي كبير,YE
216,الإ كدا دى نتيجة بتتعلق البورد,SD
217,قلتيها يا بنت بوظبي متشرد,AE
218,جربت هواكم قليبي انكوى تاريهم جاروا وما صانوا الهوى,SD
219,الدوجما واللي بتعمله المشكلة انهم معتبرين انهم مغلطوش الناس كلها بتغلط,EG
220,أحلى حفلة استرجاع السفيرة عاقبال المناطق الباقية,SY
221,يا البنات ويا رب سنه حلوه عليكى وتحققى الل نفسك,PL
222,زين بنغيره حالك,OM
223,شنو هذاااا مشروع تجاري فاخر,KW
224,حبيبي خايفه هالحب يكبر وقلبي يعشقك واكثر,BH
225,ربنا يرجعهم سالمين بحج مبرور وسعي مشكور وذنب مغفور,PL
226,بيقتلوا كلشي فيك الآخر بيسألوك ليش بآرد,PL
227,اوك نباركلهم ونفرحولهم بزاف شكرا النصيحة,DZ
228,شن القصة عندك معلومات,LY
229,قوية حد الألم لان بالعشرة رح نخسر أمور كثيرة,IQ
230,ناطرين نحنا عالأمل خلوا الامل صاحي ليل عتم قهر وجع قاسي حكي مابينحكى,SY
231,الله يفرح قلبك عيشك ربي يخلييك,TN
232,تغريدة الرثاء لازم تلاقي كلاب ينبحوا بدل يترحموا الميت,YE
233,هاي شكلها بس اجت الاردن راحت دابوق الحمر روحت,JO
234,يا أخي يا ريت زمان لاتريح قرف تغريداتك الوسخة,PL
235,اكييييد مجنني الحب ديالي الله يفرحنا بيه دايما,MA
236,الحالة وياي لسان قذر,IQ
237,يعني ينتهك القانون ويقط كلنكسهاسويله ابعاد يصير انا العقاب ولكنه مايتناسب الجريمه,KW
238,ارام قالتلي مو كيفج,KW
239,وانت طيبين بخير وأهل مصر طيبين,AE
240,صح اكيد طال عمرك وبيض الله ويهك طيب انت ليش شفت الغرفة ضيقة وقلت هالتعليق تحس ضيقة شلي مضايقك ومخليك تعتقد الغرفة ضيقة البحرين قراقيرالإسكان,BH
241,أبقى مش فاهم حاجة مكانش عايز يقعد ويتابع حاجة بنفسه بس عباس قاله مينفعش يا فندم هتبقى شكلها وحش اننا خايفين,EG
242,اسف الفيس مدمر عنديوانا ذي الطفل الضاربه الكنكشةبطن مليان قرقر والوجدان بعبر بسرسائلي البوديها بتمشي حاجة,SD
243,فوتي درهولي كبدي,LY
244,وين حسابك القديم,YE
245,تظلمه تحط ذمتك شاف النيلوفر السيبة رايح العين يتسبح اثابه الله,BH
246,ياولد يقولون كلش جدة وشهولة نسافر بجيك وكيد ارخص,SA
247,اذكري الله يابنت مساعد وش يوديني للمغرب انا طال عمرك يم حزم الجلاميد القط فقع وترزق الله,SA
248,هذي عوايدكم ياحبني لكم يا اهلنا الكويت,QA
249,فما جملة ديما يقولهالي عرفي مانحكيو ال بالانڤليزية العزيزة الغالية متاعو واخيرا سنين فهمتو آش يقصد بيها تكبيير هرمنا,TN
250,المشوار وبعد وراها محبة ضربنا خط طويل يا زلمه,OM
251,ولك بيكون برا الهوا تلج بتختمي القرآن تفكري تطلعي,LB
252,والله يارييت بس خبر حلو توثيق حسابو ودا زاتو بيعني اننا دخلنا العالم الناس,SD
253,واكيد ترامب بيستخدم الفيتو وعليها,YE
254,ولسوف يعطيك ربك فترضى,YE
255,سمحتو فضلامحتاجة لي زول جاي الكويت الايام دياسالالسودانيين,SD
256,البنت تجيب العيداذا تحمست بالدعاء يارب تكفى الله يخليكياحيوانه غلط مايصير,SA
257,الحمدلله هذي وحدة النتايج دورة فن برمجة الذات واهيا اللي طبقت التمرين بروحها انا بس,KW
258,موحال واش رجل كلب راه كايبانو العروق تما,MA
259,اللي نقص معدود واللي باقي ينعد,EG
260,ياااحرية محمد نايف المصطفى قرية مكرمية الرستن مواليد عنده بنتين ولد اعتقلوه العفاريت الزرق,SY
261,عيدالحبلايمثلني لاني مستفيدة,OM
262,مكانش صلب العدد ده مكانش التاريخ سجلها,EG
263,طبعا الفار يعتبرك فار والثاني بالطريق والثالث وتصير تجربة رهيبة,IQ
264,حظي وجه ربعي,OM
265,شهر السادس يخلص شلون,IQ
266,انتي عشتي المنطقة كنتي بتتأقلمين ظروف الحياة وقتها,AE
267,هههههههه مو عمل عمل نحقق ذواتنا,IQ
268,عطيتوه العصير ولى كايرطاب كايلهت بحال الكلب خضوووع,MA
269,الحين بروح أنام يا شعبي العاطلو شاء الله برقع لكم اموركمعمانيونبلاوظايف,OM
270,ياااحرية محمد جميل علاوي مواليد مدينة داريا اعتقلوه العفاريت الزرق تبع الجوية بتاريخ,SY
271,الله يسلمك يا وجه الخير,DZ
272,التقديرات مش مفاجأة,EG
273,مش عنصرية عشان دي الحقيقة,TN
274,الجو تعدل باقي الناس,OM
275,ليفربول حوبة مدريد,IQ
276,مسطول اشترك صحبة واشتروا ترﻻ باﻻقساطويوم اتفتح الباب مطلع وصحبه طاح الترلاوقام نط الترﻻ الطﻻق ادفع الاقساط لوحدي,SD
277,يا سلاام منكوما منك تحيةالوراك خليتو عائشقي الاسيةما حراام يالفنجري,SD
278,ترا مو حلوة قليلة لازم ام الكلام وتسال لان منين اجيب مواضيع,IQ
279,يبو جاسم تقدر تاخذ خمينيز معك وترجع لنا ابو صقر افضل والله,SA
280,انت مصر تخلي الاشخاص بحياتك بارادتكبيطلعون بدون تقرر بارادتهماو ارادة اللهعشان تفتح المجال لغيرهم يدخلون حياتك ويضيفونلك,KW
281,بنغنى وراك كلمة بنضوق البهجة تانى غايتو بتحن علينا اظنك تسافراو تغيب لحظه عني,SD
282,للاسف حاولت وللحين مارجع,SA
283,قرى طبق,AE
284,دا عندك جيش دفاع مدنى البلد مافيها مؤسسة واحدة واقفة رجلينها دمار حتة,SD
285,الله يقوينا علــــى مدت الطيبوالله يجمــلنا علــــى ماعطينــاوالله يجنبنا الظلم والعيـــبوالله يسامح نوى الظن فينا,SA
286,الأداء ده شبعنا أيام الثورة بتاع الكيماوي محمد محمود ومجلس رئاسي مدني حد بيقول هجص ويتك الكلام ويعملك مطلع هجاص محدش يقدر يجزم محمد لوحده وراه حد مطاريد العامة ورجالة مبارك بس خيانة عظمى وادلة وقيادة الجيش معاهم ده هجص قولا واحدا وباين تماما,EG
287,مالك الشعر موزون بوزن بحر العصيد ههههههه,YE
288,عندي حساب بالبنك الوطنيبس كنت ابي شي معين منهم وهونت,KW
289,بصح منيش مسؤولة العدد لي نرجع بيه ههه,DZ
290,ولما مكشوف ومفضوح وحتى اللي خاطم الشارع يقولك كذاب فمش واخد أسبقية الاكتشاف باش يحملك الذنب,LY
291,مش عصبيةإنتو مستفزين,PL
292,قصدها قيادات الضفة ورام الله,PL
293,اسأل حمود ريكي جد جوعان يالأثول وش فيهم وقعة خنور شالله انتو بتلبسون العبي تاريخنا مشرف ماسرقنا ياعيال سرقان نهايتكم قربت ياسلحان عادت لكم هيبه يا ال طقعان,QA
