,text,dialect
41,مش زعفت بصح رجعنا مل شي نديرولو حساب ونخافو منو وبالنسبة للفانز هدرتي راهم طالبو نهار هدرنا ديجا مايسناوش فيا,DZ
42,والله باقي الفانزات عارفين مين بدا الهجوم وكنا نكتب تغريدات نطلب منكم توقفوهم لان مش حابين نرد عليهم والله ابشع شتايم شفناها,DZ
43,كامل بصح,DZ
44,نشفى نهار تفرجت الحلقة مت ضحك المهم عندها حق,DZ
45,ههه يكذبو حنا نقولو فكرون ماشي بوفكران,DZ
46,الفل موح هذي غيبة,DZ
47,اهم شي احذفو شي جروبات التصويت والايمايلات,DZ
48,علمباشر ربي يفرحنا ويفرح فلسطين,DZ
49,استحي علئ شيباتك والله تموتين الدود ينقرف ومايقدر ياكلك,DZ
50,تنسين تعطيه طيزك هدية فاز,DZ
51,انتي مش غالطة ماتهتمي علاه احنا رحنا تدخلنا لمغاربة لي يفتخرو بملكهم وبلادهم وقلنا يعملو فتن,DZ
52,حسبت روحس انا نخخم هك المهم بلاك نتلاقاو فالمنام,DZ
53,ربي خلق وفرق وانا قلت,DZ
54,مفروض ضغط تتوقع ومبعد تطلع مرة واحدة بس اغلب الفانز مش عارفين الطريقة الصحيحة للمشاهدة,DZ
55,مجنونسهيلهعلىالابواب,DZ
56,انا مش عارفة سمعن الشي المشاهدة تتحسب مرة واحدة,DZ
57,لازم تشوفو اسناني عشان تقولو ابتسامة,DZ
58,والله مش ديسلايك راهم معوليين حملات سبيام وراح ينشرو الاغنية,DZ
59,اسفين مانقدر نرد والله مشغولين,DZ
60,ربي يخليك شوفي الخاص,DZ
61,شكون تكرهو هك مسكين,DZ
62,ربي يلطف بينا سبيطار تاع المدينة الجديدة منجلي حالة طوارئ اطفال مدارس جابوهم مغمى عليهم ومش عارفين السبب ربي يشفيهم ويلطف بينا,DZ
63,اضن عندهم زهر وحكام,DZ
64,اعطيني التردد عصبني المعلق تاعنا,DZ
65,حرقة كبيرة وغصة مايعلم بيها ربي سبحانو ربي يرحمهم ويجعل مثواهم الجنة ويصبر اهاليهم ويصبرنا يارب لان مش ساهلة سقوططائرةعسكرية,DZ
66,وانتي كبرتي عيونا وقلوبنا مرحبا بيك ديما,DZ
67,ميسي محتاج دقة ثانية خشمه,DZ
68,مرات نندم عرفت ناس واعطيتهم وقتي ربي يهدي ماخلق ماعليش درس جديد تعلمتو,DZ
69,واش معنى زدنا واش شفتينا درنا مثلا وهذه اعمالو احنا تكلمنا زيو زي باقي العروض لسهيلة,DZ
70,اللي يستحق يفوز ونفرحو لتنين,DZ
71,ماتهمنا نيتو المهم مايطلع منا كلام غلط سب ونخلو صورة مش مليحة علينا سهيلة,DZ
72,صح مش نورمال قدمو توانسة مصريين سوريين,DZ
73,مبروك للمغرب سؤال انت تفرجت ماتش الجزائر,DZ
74,انتو بتجيبو الخرابيط دي منين ههه,DZ
75,كالعادة مانقدرش نقولها خخخخخخ,DZ
76,انا نتكلم الكل وكاين بزاف فانز كنزة لعلمك ياريت يسمعو كلامك مش لان حباب لفانز حنان يبهدلونا,DZ
77,وماتنسي متابعتك وشايفة تلميحاتك مرة مش حابة فتنة يغلط ايهاب اعملي بلوك وهاتي حسابهم وانا نعملها بلوك قبلك,DZ
78,الله يسلمك عيدك اسعد وكل وانتي بخير ربي يهدي ماخلق وش نقول ميرسي حنونة,DZ
79,خليني ساكتة خير ههه,DZ
80,العلم خلاهم يختارعو الاسلحة,DZ
81,اعملي تامينات الحساب وماتتكلمي خاص حد,DZ
82,ياريت يكملو سيسو فال خير علينا المهم دليل قوتنا,DZ
83,احلى بلوك ليها اعملولها بلوك وماتضيعو وقتكم,DZ
84,لامزح الاوقات المصيرية مبعد نمزحو قاع,DZ
85,ايه سمعت ماتخافيش لخبر مش مليح يتسمع بسرعة البرق,DZ
86,هكرو حسابات بزاف الفانز منهم بنت لكويت وبيسان وغيرهم,DZ
87,تهبلوها اقسم بالله واش يقولها شوية هاجمين تخليه للفانز وماتردش منو,DZ
88,يحبون الاشكال هذي جرب الغزال هرب وخلاه الحين نشوف القردة مايطول ويتزوجها,DZ
89,منستعملوش إلا للضرورة هههه,DZ
90,احنا ماتكلمنا حنان جبنا سيرتها عشان تجلطنا احنا ردينا عليكم,DZ
91,حلوة زي ذي,DZ
92,بتعرف ليش حطيت الضحكة الطويلة ذي,DZ
93,الحب ممكن يبلش بصدفة يبلش بضحكة نظرة خناقة ممكن تاخذ مجرى عفوي بس الاكيد انو بعمرو بيبلش بسؤال ممكن نتعرف,DZ
94,شاء الله خير اكيد ماراح يخلوها وحسبنا الله ونعم الوكيل,DZ
95,شوفي فانز رفاييل يحب منا ويتهمنا بالسبام منطق اعطونا سبب,DZ
96,وانا أكره المجاملات وكثرة المدحمساؤو لينا,DZ
97,هدف فخخخخخخخخخم اسينسيو ريالمدريدبرشلونه,DZ
98,انا قلت انا قلتلك شوف الفيديو شفت الكلام قالو الاعلام صح واتحداك ترد بضمير الحكاية يا ابيض يا اسود وانا متكلمش بلد مستضيف شفت كلام الصحفي كلام بلماضي فالفيديو يبقى المشكلة فشعب مصر العظيم مش الاعلام بس,DZ
99,ألآ الليت يكن,DZ
100,هههههههه مش صح لان اصلا كنزة مش فئة سهيلة,DZ
101,وماتنسيش الهدف احنا سجلناه والثاني ضربة جزاء يعني خلاصة خممي كلامي ورجعيلي خبر,DZ
102,الله يسلمك حبيبتي ويحفظ البلدان,DZ
103,واش رايحة تجيبينا معكتوصلي بالف خير وسلامة,DZ
104,وثانيا انا شفت تكلم الناس اخلاقها معروفة ماكنت رديت لان عارفة مافي فايدة رديت لان ماتوقعتها منك وانت حر اسفة,DZ
105,بيجوز وين بيكون جابها يعني,DZ
106,حبيبتي سهرانة ممممم العموم مجرد كلمات ههه,DZ
107,بصح تقدر تجيبلي أغنية للشاب مامي نحي بيها خاطري,DZ
108,ماتسالوش شي يرجع ليه يهنئ ولالا شبعتوني مقروظ خخخخخخ,DZ
109,وش يا عطوفتشي يا توأمي,DZ
110,واحنا معكم الراي والله يوفق سهيلة وعلي,DZ
111,وحتى عرفت مش شتم ماحدفت التغريدة عشان غيرها مايفهم غلط ياترى شو السبب الكل طلب تحذف وفسرلها,DZ
112,متواضعيين وعارفين انهم مازالو بداية مشوارهم واحساس انهم واقفين مسرح بلادهم وحدو يكفيهم,DZ
113,ماتقولو كلام كبير ماتقدرو تنفدوه خلينا فانز افعال مش اقوال,DZ
114,الحين يجينا بلوك جماعي الدون,DZ
115,اولا تقدري تقوليلي شكون بارك لهايدي ماشفت اعطيني نشوف شي حابين سهيلة تنجح اقفلو صفحة ستار وانساوها,DZ
116,احنا مانصدقهم بس شي عندو علاقة بسهيلة لازم نقوم بالواجب ماتهمنا نيتهم,DZ
117,اكيد الالوان مش احمر مش لازم نسمعو بلا مانتاكدو براي مش متاكدة احذفي لان قادرة تغريدتك تتسبب فتنة بالغلط,DZ
118,شكرا ليكم شاء الله وبالتوفيق لعلي عندنا,DZ
119,عندها حق كنتي ناس ملاح,DZ
120,ماتستبقو الامور يقصد العكس يحط ادلة مصدقيتو,DZ
121,بنزيما طلع المستخبي بخمس ثواني,DZ
122,صح والفيديو واضح بيت فلة وعاملين طبخ جزائري وزي ماقلتي امها ماتركتها دقيقة ومش تاركينها بحالها,DZ
123,عملتها سهيلة الكل الفترة مشغولة وثاني التواصل بحدود مش تغريدة ماتنسي متابعينها فنانين,DZ
124,نحبككك ونموووت وربي يشفيك دزايرنا بخير طول ماأنت راسها,DZ
125,اعتبرها انطلت عليا كنت العداوة الطيبة الزايدة وقتنا تعتبر جياحة مش مرة مفروض احنا نسامحو ونقولو اخوة واذا هدي حملة وين بقية الشعب غيرك انت شعب مكانش عقلاء فالمغرب غيرك انت,DZ
126,خلصت فيك الكلام يامعلم قلبي الغرام ريالمدريداتليتكومدريد,DZ
127,تهدرو علئ الشطيح والرديح ودراهم اللي تصرفهم الدولة علئ الفنانين اهاا شكون اللي يروح يصفق ويشطح شعب مالي مثلا فضيحهريو,DZ
128,الحمد لله احنا بخير حبيبتي وربي يبعد الشر الكل يارب,DZ
129,وانا ماقدرتش الله غالب نشوف الاعادة ربحنابسيف لقيت وحدة كيفي,DZ
130,طلعو حبيبة الدون برا منحووووسه,DZ
131,للعهدة الخامسةة والسادسةة توفرت لاللعهدهالخامسه,DZ
132,مش غلطانة كالعادة ينسبوها ليهم الشي العام فات,DZ
133,واش قلت وردك ندمت هدرت معك الله غالب عقلك عقل عصفور يالجايحة مش نتكلم كنزة وماجبتهاش اصلا راني نبهتك لغلطتك,DZ
134,وصلتلو طلبنا خاص عليا ماتخافي يقوم بالواجب,DZ
135,شوط ممتع ريالمدريداتليتكومدريد,DZ
136,مش معقول تضيع النقاط فريق زي,DZ
137,واتحداك ادخلي شوفي انستغرام سهيلة الخروج الاكاديمي والشتم لكبير وكيف ردنا عليهم باحترام لقيتي كلامي غلط,DZ
138,شرف كبير ليااا تبقى دائما الافضل والاعز,DZ
139,اعطولو حساب هناء يوصلوه لسهيلة,DZ
140,بلاك انتي عميلة حلابة واحنا مش عارفينانا جايتني سهرة شكون عندها سهرة شابة تقترح علينا,DZ
141,مانصدق حسابات لفانز حنان قديمة تسب وتشتم وتهدد بالهكر والسبيام اجيبلك الاف التغريدات اتاكدي,DZ
142,لازم نشوفو تقرير الطبيب الشرعي لان حوالك مايعجبوش المعطيات,DZ
143,انا مانهدرش لان مسابقة تافهه نهدر الميما وخبر عاجل يكونو المصير ونقولو صوتو ضدنا للاسف مش يصوتو حقيقة,DZ
144,مش لازم تديرو للضحك لان فنانين وصحافيين بزاف عاملين فولو الفانز لازم تتواصل معاهم بيروسكوب,DZ
145,برافو كلام صواب بس ياريت توجهيه لبعض الايهابيات وخلونا يد واحدة وينسو مشاكل ويركزو دعم ايهاب وسهيلة,DZ
146,روحو اهتمو انتو بالايكات احنا الاهم تتويج لقاءات ربح مسابقات ترندات رد مباركات وغيرها مش ملحقيين لايكات الحمد لله,DZ
147,نضن خاوتنا لمغاربة معندهم عتراض لكلام واذا عندهم ويعتبروه فتنة المشكل نخافو نحطو معلومات بلدنا,DZ
148,ھ العام غييير ياعسى هآلعـآم لي فرحہ وخير عيدميلادي,DZ
149,خلونا لحكاية كا عارف واش عندو ربي يسهل وياريت يفكر الدعم وخلاص,DZ
150,نسكت وانت موجود مانرضئ نتكلم ريالرونالدو ريالمدريدملقا,DZ
151,خلاص حبيبتي بيسان اكدت مش صورها حطوها الفيس للتضليل بس,DZ
152,الربح خويا لعزيز,DZ
153,يخلص الماتش ونقولك شكون احنا,DZ
154,الله يبارك الشاطرة تاعي,DZ
155,المشكل مش كف ياخدو كفوف بالجملة,DZ
156,اصلا ماعندها حاجة مشكل كنزة تصالح روحي اسمعي واش قالت اللقاء,DZ
157,نسمعو كلمة نندد بشدة ونتابع بقللومبعد خلصت لحكاية وراحت القدس,DZ
158,الله يجازي فاعل خير,DZ
159,رامي لازم تحطو طريقة المشاهدة الصحيحة للفانز لان اغلبهم يشاهدو بطريقة غلط لازم تنتشر نزول مجنون,DZ
160,البت بتقول إشاعات إشاعات إشاعات إشاعاتترارارا,DZ
161,شكون راهو حاب العيد غدوة رتويت العيد غدوة تفضيل عيدالفطر,DZ
162,خالعاتك انت هذي روح داوي,DZ
163,ماهدرتش احلام ياحمار انا مش وقت احلام يا جايح احنا حزنانين شهدائنا ربي يرحمهم ومستحيل نكونو احقر منكم ياشعب الزطلة والدعارة الحمد لله احنا انظف واشرف منكم يا عباد الملك روح شوف واش معنى السجود لغير الله مش عارفة منين تجيبو وجه تهدرو بيه المفروض تتخبو,DZ
164,هاو عندنا غزال يسجل معالخضرانديروحاله,DZ
165,الله يبارك فيك ريتا,DZ
166,مش خايفة مادمت معك انتي الراعي الرسمي ليا غدوة وكي نغلط انتي رجعيني للطريق,DZ
167,قاهرني بنت محترمة وعمرها غلطت حد,DZ
168,وهذيك ستوتة راهي حابة تدي خويا فتحي,DZ
169,منيش نبررلو صحبونتي ياو حنا عهود وحنا مذلولين,DZ
170,شاء الله يجي برك,DZ
171,عيينا نقولو مش حسابووووووووووووووو حساب مزور اتاكدو ماتضيعو تفاهات,DZ
172,انا واتعهد صوت,DZ
173,نموت لكبيدة ديالي,DZ
174,مو عملت عملية وشلتها,DZ
175,غلطة نانسي مفروض ماتختارهم يستاهلو يبقو حطت نفسها مازق,DZ
176,قلنا مستحيل تنهزم فلسطين ارضنا اخر كلام وزي مايهتف الجمهور زيدولهم يجي,DZ
177,اغانيه تعجبني ذوقك يا ذوق,DZ
178,توب يا بنادم توب نسيت الدين وبغيت تعمر الجيوب نسيت بلي رزقك مكتوب والكفن راه مافيه جيوب ناسبكريقالو,DZ
179,ترمتك بلهجتنا وطيزك بلهجتكم ومؤخرة بالعربية الفصحئ,DZ
180,تحبيها تدير فولو بنت بلادها مادرتلهاش واخلاقو المهم ماننساوش اننا نعطو صورة لسهيلة,DZ
181,فكرة مدح يعني يحبو الطقطقة والمزح انتي ظلمتيه وكبرتي الموضوع وعملتي فتنة كبيرة الكل فسرلك,DZ
182,تحوس لمشاكل تحوس البونيا,DZ
183,لان تكلمتي فانزها الراقي والمحترم جبتلك عينة احترامي للبعض المحترم فعلا انا اعمم وماقصدتك انتي,DZ
184,الفنانة تكلمت عملتلك ريتويت وكتبت تغريدة شكرتك خصيصا وانت ماطلبت رقمها توصلك بطريقة ثانية,DZ
185,احنا ماقلنا فراغ فانز تاق سعيلة اتهمونا بتحريض الفانز للاسف اقسم بالله اخر شخص نفكر نضرو العكس,DZ
186,مهبولة مليح بزاف تخافي يقلدوك وانا نقول ويني الطفلة غايبة التعليقات,DZ
187,مكانش بصح انا عندي كاينة وقيل,DZ
188,ميسي بدو يبصم النار ترا تنحرق صوغنن ريالمدريدبرشلونه,DZ
189,مو مهمة بس لكل مقام مقال ياخذ علئ قدووو,DZ
190,كون انتوما ماتتسرعوش وتجيبونا لكلام لان مش حسابو حساب مزور,DZ
191,بما انك تراقبي الفانز ياريت تلمو هذو العاهات علينا لان مازالنا ساكتين احتراما لحنان,DZ
192,شفتها ربي يلطف بينا المرة الجاية يخطفونا حنا,DZ
193,قلت لكلام قالولي اسكتي واش تفهمي والله تعبونا,DZ
194,شكرا استاذ رايك يهمنا الله يخليك,DZ
195,واش كاين درك,DZ
196,ماسقسيتيش زوجك وابو عيالك علاه مش طايق يشوف معك ونظرتو لضرتك مش نفتن انا قاصدة الخير يتزوجكي,DZ
197,طريقتك غلط ماتنشريهاش اولا الميوت ماتتحسب المشاهدة ثانيا البلاي ليست تتحسب مرة واحدة,DZ
198,وين شفتي مصدر موثوق كلام الله يحرق مد يدو الشهداء,DZ
199,عملو فينا مايتعملش حساب تهكر وباقي الفانز كلو عملو بريفي واتعطلنا اعمالنا كلو الهجومات,DZ
200,بزايد عليكم ناسبكريقالو,DZ
201,معالخضرانديروحالهالله اكبر بسم الله ماشاء الله ربي يزيد ويبارك رافعين راسنا الحمد لله,DZ
202,ربي يخليك ليا امونتي,DZ
203,لهنا وربح سارة,DZ
204,انا افضل داعية بالتحديد بس ممكن اميل لعائض القرني,DZ
205,مرات تبني امال ناس تحسبهم قراب منك وبعد مدة تحس انك مخدوع وكنت تضيع وقت ناس مايستاهلوش دقيقة وقتك حقيقة,DZ
206,عندك الحق دزاير تاعكم وتاعنا مش,DZ
207,مشكورة هايدي شاء الله نباركلها باعمالها قريبا الناس عقليات يمثل نفسو ياريت مانخدها الكل,DZ
208,مايهمش اصلا واحدة قالتلي اكتبي انا استغربت لان دقايق انحدف,DZ
209,اللي تغيظ قادر يجيب الذهبية توفيقمخلوفي,DZ
210,شعلتيها ياجدك نستعرف بيك,DZ
211,نحسد بطاريق خلي ترامب يسوقك اذنك واخرسي,DZ
212,إمــــــي نامت بكير وسكر بيي البوابــةوأنا هربت الشباك وجيت لعيد العزابةشباكـــي بعدو مفتوح والبردايـــة عم بتلوحان عرفو بغيابي أهلي يا دلي وين بدي روحوين بدي روح يا دلي عرفو أهلي بغيابي فيروز,DZ
213,ايه ماعندها وين تروح شكون يحمل هبالها الجزائر وناسها,DZ
214,شيمومة مدريش عليا هذو ليومين ههه,DZ
215,ردك غلط تعلقو حطو سهيلة ومصلحتها عينيكم ومرة ثانية ماتتكلمي باسمها سهيلة صارت فنانة وفانزها صورتها,DZ
216,فانز سهيلة داخلين لتاق حنان وكنزة ويسبو ويعملو مشاكل فانز سهيلة مايمثلو سهيلة رسالة الفانز الدعم مش الشتم,DZ
217,سمحتي شعرك طالع برا الحجاب دخلية شكرا يخوي انت انسان طيب الله يكثر امثالك امين يختي رقمي طلع مره ثانية رنيلي,DZ
218,شوفي بعينك حسابو,DZ
219,عندك الرابط اليوتيوب ماشفتوش,DZ
220,حبيبتي شهرةاولا توحشتك ثانيا حبيت نسقسيك المسلسل نتبعو لاني اثق ذوقك,DZ
221,ديايه ليه ياينا هالحزه ماعرف غيرهم كلمهكويتيهبدونحرفجيم,DZ
222,هذاك جيل جيل القلب واللعب لعلام مش,DZ
223,مش عيب ماتعرفيهش روحي ابحثي وشوفي اعمالو وانجازاتو ومبعد اهدري,DZ
224,انتي مش متخيلة الاجواء عندنا عيد مافي كلام المباراة وعن الاحتفالات,DZ
225,تحسدنا بس اعوز بالله,DZ
226,يا ككككلب بكتفه يا خراااا,DZ
227,اوك اعتبرو اعتراف وانا اتشرف بكل عربي مسلم محترم ويتكلم بضمير وربنا يوفق الجميع ونصيحة بس مرة متقلش الموقع ميكدبش لان ملوش معنى الكذب وزاد الطين بلة المدرب صحح كلامو وذا اصرار الكذب اشكر تفاعلك وواحترامك,DZ
228,اصلا درك راهم رابحين العيب,DZ
229,ولعلمك مش عارفة شكون جاي رايح ولاتهمني لاهي لافانزها ريلاكس,DZ
230,والله ضحكت قلبي مين شفت وحدة قالت لوحدة تغيري مني ههه,DZ
231,نلقى جزائريين خايفين يتكلمو رئيسهم اساس فتنة ونروح للمغاربة نلقاهم يفتاخرو بملكهم نعرف المشكل فينا,DZ
232,شكرا لاهانتك للهجة الجزائرية شكرا لاهانتك فنان جزائري عالمي شكرا لمؤامراتك وكلامك ورا الظهر زي النسوان,DZ
233,ياريت انتوما تعرفو لعبة وتبطلو شماتة فينا لان عمرنا عملناها معاكم لان حسبناكم اشقاء روح شوف التاق تفهم كلامي,DZ
234,انتي قلتي رايك ونحن نحترمو ومشكورة بس انتي اعطيتي الحق لغيرك يقول رايو اصلا اذواق ومش ضروري صح مسالة اذواق,DZ
235,شفت المناصر نزل الملعب قلت الله يرحم فرحات طلع يحضن الحارس الفلسطيني,DZ
236,وانا لان سالتي جاوبتك عندنا المشكل فانز حنان مدة وحاولنا الطرق وفشلنا قدرتي تلاقي حل احنا مستعديين,DZ
237,لازم تتعامل معاه سمعت مترددة لازم نقنعها,DZ
238,مستحيل مر بلا نكد نحس شي غلط يصير,DZ
239,حقدنا احنا خليك موضوعية شوفي فانزكم واش عاملين فينا الوحيدة كنا متابعينها ووقفنا حنان,DZ
240,احيان تصبح قلبان جسد,DZ
241,هههه انا مش متبعتها وماوصلني والو تعليقك فانزها مركزين الماتش ونساوها كون تغريدة درتي بلوك وريحتي روحك,DZ
242,وش دير الخبزة أولئ ربي يفرج,DZ
243,طلتك احلى يا اخي,DZ
244,ياريت تساعدونا بالبلوك ونشر حسابهم حنان وسهيلة بينهم خير مش فاهمين منين طلعت المخلوقات,DZ
245,شكر وبالتوفيق لهايدي,DZ
246,ستر ربي يغلط,DZ
247,انا مش بصدد اناقش انتو قدمتو ايه احنا قدمنا واذا حابب تعرف قدمنا ايه اسال قوقل وصدقني مش تسال السؤال ويبقى قدمناه شيء ونبقى مقصرين بس انا رديت قالك الفلسطينين قدمو ايه وهما يموتو بالالاف اليهود,DZ
248,وش بيك الخير خوفتيني طمنيني لحبيبة,DZ
249,الزواج مش جريمة طلبوا ثنين شهود,DZ
250,واحدة دعمت كنزة ووقفت الاكاديمي وبرا وكانو يطلبو توقف معاهم وقلبو بس لان قابلت ابتسام وتصورت,DZ
251,واحنا نقولو حسبنا الله ونعم الوكيل ونشوف النتيجة والي ليه رد تاكدي والكل شاف الهكر وين بدا,DZ
252,يقولو ناس بكري قطع لحمك وماتتكلمش ولية استغفري ربك وشجعي كنزة باحترام وحكمي ضميرك وكوني جزائرية حرة,DZ
253,نقدر نسقسيك انتي جزائرية لان تلفتيهالي,DZ
254,اخلاقك برافو كملي ورينا التربية والاخلاق واحلى بلوك خلي الناس تشوف,DZ
255,ترد عليهم بالرسمي يتابعوها مش احنا نصبر الشي لمصلحتها الموضوع ماياخد وقت كبير حكاية تنظيم نص ساعة,DZ
256,مش ضيوف ببلدهم مرور بيعتبرون انهم ببلدهم,DZ
257,بلا كذب مونية معي قالي مش ندخل تجي,DZ
258,بليز اطلعو الهاشتاغ يتاكد الخبر ماتحطوها مواقف محرجة,DZ
259,يخرب بيت اللي يحرمنا منكم ريالمدريدديبورتيفو,DZ
260,اسفة الازعاج وربنا يوفقك فشغلك كنت حاطة احتمال يا متفرجتش الماتش مش حابب الفريق,DZ
261,وساخة فانزك ننشرها مكان ماعملنا سبيام بس نرد الصاع صاعين نتي لخاسر الوحيد,DZ
262,وانت اعز أملك ربي يخليك ليا ويلقيني بيك ساعة الخير خويا لعزيز,DZ
263,ﺗﺨﻴﻞ ﻳﻜﻮﻥ ﻋﻨﺪﻙ ﻧﻬﺎﺋﻲ ﻭ ﺗﺤﻀﺮ ﺑـ ﺷﻌﺎﺭ ﺍﻟﻨﺎﺩﻱ اللي ﻳﻠﻌﺐ ﺿﺪ ﺭﻳﺎﻝ ﻣﺪﺭﻳﺪ ﺑﻌﺪ ﺃﺳﺒﻮﻉ ﺻﺮﺍﺣﻪ ﺃﺧﺘﻤﻮﺍ ﺍﻟﻬﻮﺱ برشلونهالافيس,DZ
264,ههههههه والله راني كاينه ومكانشوش حوالك انتي توحشتكككك,DZ
265,ادخلي لتاق سهيلة شوفي الدنيا مقلوبة وشوفي تاقكم فانز حنان ناشر الصور واغلبهم حساباتهم قديمة وكلو تصور,DZ
266,حمستونا بزاف شكرا ليك استاذ ثقتنا فيك كبيرة,DZ
267,اولا ماباركلها نسيم وسعد واتاكدي بنفسك ثانيا ماقفلتوش صفحة ستار وطلابها مش توصلو بعيد,DZ
268,اممممم علئ جال الاولمبياد,DZ
269,وكل الفنانين صغار وكبار يحتفلو ببلادهم عندنا تاريخ مشرف وشعب اكبر ثورة عربية يحقلنا نرفعو راسنا بيها شوف صحابك مثلا,DZ
270,ككككككلب ابن ككككككلب الحكم,DZ
271,ليه حكيت معك انت شفت قلة احترام كلامي انا اتكلم فانز سهيلة واولهم انا انت تكلمني بصيغة تهديد مش عارفة ليه,DZ
272,ايواا طلعي يا عواطف مواهبك لمخبية,DZ
273,مرحبا بيك تاقنا وبعد حركة الهكر فانز بزاف منا ليها رد فعل اكيد احنا الشتم وردنا بالنجاح,DZ
274,والله صارنا شهر نطلب منكم الطلب حابين نعرفو سبب الهجوم الشرس فانز حنان سهيلة مابينهم والو وانتو كنتو تطنشونا,DZ
275,روحي شوفي اغلبهم فانز سهيلة,DZ
276,هههههههه اخبار منتشرة المؤتمر رغبتكم فالفتنة عايز تتاكد مفيش اسهل الفيديو منتشر فكل مكان وبالترجمة كمان يعني متشوفش بعينك وتقول اخبار المؤتمر,DZ
277,هههه مساؤو يا ريمو قصدك مرقدتش للفجر,DZ
